region,confirmed,deaths,recovered
Abra,3,0,0
Agusan del Norte,3,0,0
Aklan,7,0,0
Albay,20,0,0
Antique,8,0,0
Bataan,76,0,0
Batangas,82,0,0
Benguet,22,0,0
Bohol,1,0,0
Bukidnon,1,0,0
Bulacan,109,0,0
Cagayan,14,0,0
Camarines Sur,9,0,0
Camiguin,1,0,0
Capiz,5,0,0
Catanduanes,2,0,0
Cavite,221,0,0
Cebu,343,0,0
Compostela Valley,2,0,0
Cotabato (North Cotabato),3,0,0
Cotabato City (not a province),6,0,0
Davao Oriental,3,0,0
Davao del Norte,11,0,0
Davao del Sur,99,0,0
Ilocos Norte,3,0,0
Ilocos Sur,1,0,0
Iloilo,25,0,0
Isabela,8,0,0
La Union,15,0,0
Laguna,294,0,0
Lanao del Norte,5,0,0
Lanao del Sur,8,0,0
Leyte,1,0,0
Maguindanao,1,0,0
Marinduque,4,0,0
Misamis Occidental,2,0,0
Misamis Oriental,3,0,0
NCR,4265,0,0
Negros Occidental,13,0,0
Negros Oriental,7,0,0
Northern Samar,1,0,0
Nueva Ecija,50,0,0
Nueva Vizcaya,5,0,0
Occidental Mindoro,3,0,0
Oriental Mindoro,6,0,0
Palawan,1,0,0
Pampanga,60,0,0
Pangasinan,33,0,0
Quezon,54,0,0
Rizal,337,0,0
Romblon,1,0,0
Samar (Western Samar),4,0,0
South Cotabato,4,0,0
Sultan Kudarat,3,0,0
Tarlac,29,0,0
Zambales,26,0,0
Zamboanga del Sur,11,0,0
