region,province,confirmed,deaths,recovered
BARMM,LANAO DEL SUR,16,0,0
BARMM,MAGUINDANAO,5,0,0
BARMM,SULU,1,0,0
CAR,ABRA,6,0,0
CAR,APAYAO,7,0,0
CAR,BENGUET,61,0,0
CAR,IFUGAO,2,0,0
CAR,KALINGA,1,0,0
CARAGA,AGUSAN DEL NORTE,7,0,0
CARAGA,SURIGAO DEL NORTE,2,0,0
CARAGA,SURIGAO DEL SUR,2,0,0
NCR,METRO MANILA,11189,0,0
Region I: Ilocos Region,ILOCOS NORTE,5,0,0
Region I: Ilocos Region,ILOCOS SUR,3,0,0
Region I: Ilocos Region,LA UNION,21,0,0
Region I: Ilocos Region,PANGASINAN,78,0,0
Region II: Cagayan Valley,CAGAYAN,19,0,0
Region II: Cagayan Valley,ISABELA,13,0,0
Region II: Cagayan Valley,NUEVA VIZCAYA,8,0,0
Region III: Central Luzon,BATAAN,137,0,0
Region III: Central Luzon,BULACAN,283,0,0
Region III: Central Luzon,NUEVA ECIJA,71,0,0
Region III: Central Luzon,PAMPANGA,110,0,0
Region III: Central Luzon,TARLAC PROVINCE,39,0,0
Region III: Central Luzon,ZAMBALES,39,0,0
Region IV-A: CALABARZON,BATANGAS,219,0,0
Region IV-A: CALABARZON,CAVITE,459,0,0
Region IV-A: CALABARZON,LAGUNA,509,0,0
Region IV-A: CALABARZON,QUEZON,93,0,0
Region IV-A: CALABARZON,RIZAL,581,0,0
Region IV-B: MIMAROPA,MARINDUQUE,7,0,0
Region IV-B: MIMAROPA,OCCIDENTAL MINDORO,36,0,0
Region IV-B: MIMAROPA,ORIENTAL MINDORO,21,0,0
Region IV-B: MIMAROPA,PALAWAN,3,0,0
Region IV-B: MIMAROPA,ROMBLON,3,0,0
Region IX: Zamboanga Peninsula,ZAMBOANGA DEL SUR,136,0,0
Region V: Bicol Region,ALBAY,66,0,0
Region V: Bicol Region,CAMARINES NORTE,4,0,0
Region V: Bicol Region,CAMARINES SUR,17,0,0
Region V: Bicol Region,CATANDUANES,1,0,0
Region V: Bicol Region,MASBATE,2,0,0
Region V: Bicol Region,SORSOGON,1,0,0
Region VI: Western Visayas,AKLAN,8,0,0
Region VI: Western Visayas,ANTIQUE,18,0,0
Region VI: Western Visayas,CAPIZ,5,0,0
Region VI: Western Visayas,ILOILO PROVINCE,59,0,0
Region VI: Western Visayas,NEGROS OCCIDENTAL,37,0,0
Region VII: Central Visayas,BOHOL,8,0,0
Region VII: Central Visayas,CEBU PROVINCE,3875,0,0
Region VII: Central Visayas,NEGROS ORIENTAL,20,0,0
Region VIII: Eastern Visayas,BILIRAN,2,0,0
Region VIII: Eastern Visayas,EASTERN SAMAR,2,0,0
Region VIII: Eastern Visayas,LEYTE,74,0,0
Region VIII: Eastern Visayas,NORTHERN SAMAR,7,0,0
Region VIII: Eastern Visayas,SAMAR,25,0,0
Region VIII: Eastern Visayas,SOUTHERN LEYTE,3,0,0
Region X: Northern Mindanao,BUKIDNON,4,0,0
Region X: Northern Mindanao,CAMIGUIN,1,0,0
Region X: Northern Mindanao,LANAO DEL NORTE,9,0,0
Region X: Northern Mindanao,MISAMIS OCCIDENTAL,9,0,0
Region X: Northern Mindanao,MISAMIS ORIENTAL,17,0,0
Region XI: Davao Region,COMPOSTELA VALLEY,3,0,0
Region XI: Davao Region,DAVAO DEL NORTE,14,0,0
Region XI: Davao Region,DAVAO DEL SUR,295,0,0
Region XI: Davao Region,DAVAO OCCIDENTAL,2,0,0
Region XI: Davao Region,DAVAO ORIENTAL,4,0,0
Region XII: SOCCSKSARGEN,COTABATO,16,0,0
Region XII: SOCCSKSARGEN,SARANGANI,1,0,0
Region XII: SOCCSKSARGEN,SOUTH COTABATO,11,0,0
Region XII: SOCCSKSARGEN,SULTAN KUDARAT,5,0,0
